index	question	sentence	label
4522	Who is Edward's mother?	The day before the abdication, he went to London to see his mother, Queen Mary.	entailment
4523	What type of industry thrives in Settle?	Seattle's economy is driven by a mix of older industrial companies, and "new economy" Internet and technology companies, service, design and clean technology companies.	not_entailment
4524	How many bells make up the abbey ring?	The bells at the abbey were overhauled in 1971.	not_entailment
4525	Who was nominated for Vice President during the 1964 Democratic National Convention?	Many felt that the friendship between Johnson and Governor of New Jersey Richard J. Hughes led Atlantic City to host the Democratic Convention.	not_entailment
4526	When did Japan take over Indochina?	Japanese forces broke their agreement with the Vichy administration and fighting broke out, ending in a Japanese victory.	not_entailment
4527	What was the trade name of epinephrine?	Parke Davis marketed epinephrine under the trade name Adrenalin.	entailment
4528	On July 28 2013 what type of elections were held?	In January 2012, an armed conflict broke out in northern Mali, which Tuareg rebels took control of by April and declared the secession of a new state, Azawad.	not_entailment
4529	When was the Wycliffe Bible translated?	1382), which showed the weaknesses of an underdeveloped English prose.	entailment
4530	How many million square miles was the Umayyad caliphate at its largest size?	the world had yet seen, and the fifth largest ever to exist.	not_entailment
4531	How much has west Antarctica warmed per decade in the last 5o years?	Some of Antarctica has been warming up; particularly strong warming has been noted on the Antarctic Peninsula.	not_entailment
4532	Why didn't LaserDisk gain popularity in North America?	It also remained a largely obscure format in Europe and Australia.	not_entailment
4533	What is the city's per capita GDP?	At $52,000 the city's per capita GDP is the second highest out of all major Canadian cities.	entailment
4534	When was the Summer Consumer Electronics Show held?	The deal was set to be finalized and signed at the Summer Consumer Electronics Show in June 1983.	entailment
4535	Which of the two first works addresses pagan practices?	In the first part, Athanasius attacks several pagan practices and beliefs.	not_entailment
4536	What can possibly predict the future orientation a persons sexual idenity?	It [was]... still an unanswered question whether... [the] measure [of 'the complex components of sexual orientation as differentiated from other aspects of sexual identity at one point in time'] will predict future behavior or orientation.	entailment
4537	Why is this specific antenna type used?	At low frequencies (such as AM broadcast), arrays of vertical towers are used to achieve directionality  and they will occupy large areas of land.	entailment
4538	Besides meetings, for what other use is the meeting hall used?	Falekaupule is also used as the name of the council of elders – the traditional decision making body on each island.	not_entailment
4539	What provides a degree of protection from interference with the USB signal?	The connector construction always ensures that the external sheath on the plug makes contact with its counterpart in the receptacle before any of the four connectors within make electrical contact.	not_entailment
4540	In what type of network are most scientific research studies conducted in Portugal?	The funding and management of this research system is mainly conducted under the authority of the Ministry of Science, Technology and Higher Education (MCTES) itself and the MCTES's Fundação para a Ciência e Tecnologia (FCT).	not_entailment
4541	What was the problem with chimneys in the palace?	Ventilation was so bad that the interior smelled, and when a decision was taken to install gas lamps, there was a serious worry about the build-up of gas on the lower floors.	not_entailment
4542	In what year did Louis die?	Louis did not leave a son as heir after his death in 1382.	entailment
4543	What is the civil disobedience caused by the railroad worker's strike called?	Civil disorder spread throughout the country in what became known as the Autumn uprising.	entailment
4544	How much more water should pregnant women consumed compared to an average non - pregnant woman?	The EFSA panel proposes that pregnant women should consume the same volume of water as non-pregnant women, plus an increase in proportion to the higher energy requirement, equal to 300 mL/day.	entailment
4545	How many Tuvaluan men are active seafarers?	The Asian Development Bank (ADB) estimates that 800 Tuvaluan men are trained, certified and active as seafarers.	entailment
4546	What was the average temperature for July 2011?	More recently, the average temperature for July 2011 was 17.6 °C (63.7 °F), with an average minimum temperature of 12.9 °C (55.2 °F) and an average maximum temperature of 23.7 °C (74.7 °F).	entailment
4547	What was the average net household income in Paris in 2011?	Unemployment was estimated at 8.2 percent in the city of Paris and 8.8 percent in the Île-de-France region in the first trimester of 2015.	not_entailment
4548	What is the more popular name of Lindbergh Field?	The city's primary commercial airport is the San Diego International Airport (SAN), also known as Lindbergh Field.	entailment
4549	What was the Libyan coup called at first?	Due to the coup's bloodless nature, it was initially labelled the "White Revolution", although was later renamed the "One September Revolution" after the date on which it occurred.	entailment
4550	Aside from skills, what is required in order to have the means for building?	and means (available building materials and attendant skills).	entailment
4551	How did Gaddafi announced his leadership?:	Addressing the populace by radio, he proclaimed an end to the "reactionary and corrupt" regime, "the stench of which has sickened and horrified us all."	entailment
4552	Companies including Viacom and Mediaset have done what against youtube?	Organizations including Viacom, Mediaset, and the English Premier League have filed lawsuits against YouTube, claiming that it has done too little to prevent the uploading of copyrighted material.	entailment
4553	Which two types of antibiotics target the cell wall?	Antibacterial antibiotics are commonly classified based on their mechanism of action, chemical structure, or spectrum of activity.	not_entailment
4554	Which territory did Margaret Thatcher compare Hong Kong to?	Thatcher, seeing parallels with the Falkland Islands, initially wished to hold Hong Kong and proposed British administration with Chinese sovereignty, though this was rejected by China.	entailment
4555	What name describes the combined body of all Estonia military?	The military of Estonia is based upon the Estonian Defence Forces (Estonian: Kaitsevägi), which is the name of the unified armed forces of the republic with Maavägi (Army), Merevägi (Navy), Õhuvägi (Air Force) and a paramilitary national guard organisation Kaitseliit (Defence League).	entailment
4556	Who does the senior leadership roles in the USAF include?	The senior officials in the Office of the Secretary are the Under Secretary of the Air Force, four Assistant Secretaries of the Air Force and the General Counsel, all of whom are appointed by the President with the advice and consent of the Senate.	not_entailment
4557	In what year was André de Lorde and Gyp's Napoléonette written?	Victorien Sardou's Madame Sans-Gêne (1893), Maurice Barrès's Les Déracinés (1897), Edmond Rostand's L'Aiglon (1900), and André de Lorde and Gyp's Napoléonette (1913)	entailment
4558	Along with Efford, where else does the Plymouth City Council operate a cemetery?	There is also a privately owned cemetery on the outskirts of the city, Drake Memorial Park which does not allow headstones to mark graves, but a brass plaque set into the ground.	not_entailment
4559	Which dynasty became ruler of Tibet?	The Mongol Yuan court was forced to accept him as the new viceroy, and Changchub Gyaltsen and his successors, the Phagmodrupa Dynasty, gained de facto rule over Tibet.	entailment
4560	In degrees Celsius, what is the average January temperature in Miami?	With January averaging 67.2 °F (19.6 °C), winter features mild to warm temperatures; cool air usually settles after the passage of a cold front, which produces much of the little amount of rainfall during the season.	entailment
4561	In 2006, which team helps secure a truce during a civil war?	The Côte d'Ivoire national football team helped secure a truce to the nation's civil war in 2006 and it helped further reduce tensions between government and rebel forces in 2007 by playing a match in the rebel capital of Bouaké, an occasion that brought both armies together peacefully for the first time.	entailment
4562	What famous lampmaker used glass?	Louis Comfort Tiffany in America specialized in stained glass, both secular and religious, and his famous lamps.	entailment
4563	Which work narrowly escaped seizure and had to be saved by Malesherbes?	The Encyclopédie, for example, narrowly escaped seizure and had to be saved by Malesherbes, the man in charge of the French censure.	entailment
4564	What is a "Unitised Scheme"?	Unitised Scheme – a unit trust vehicle for College, Faculties and Departments to invest endowments and unfettered income to produce returns for the long term; (ii) Non-Core Property – a portfolio containing around 120 operational and developmental properties which College has determined are not core to the academic mission; and (iii) Strategic Asset Investments – containing College’s shareholding in Imperial Innovations and other restricted equity holdings.	entailment
4565	What year is the video game Digimon Story: Cyber Sleuth set to be released?	Once the countdown was finished, it revealed a reboot of the Digimon World series titled Digimon World Re:Digitize.	not_entailment
4566	What is a FBI branch divided into?	The FBI is organized into functional branches and the Office of the Director, which contains most administrative offices.	not_entailment
4567	In what year was Apple given rights to the iPod name?	The name iPod was proposed by Vinnie Chieco, a freelance copywriter, who (with others) was called by Apple to figure out how to introduce the new player to the public.	not_entailment
4568	What is nonverbal communication?	Nonverbal communication describes the process of conveying meaning in the form of non-word messages.	entailment
4569	Who does Betrand Russell started the schism that lead to the Enlightenment?	Though many of these philosophical ideals were picked up by Catholics, Russell argues, by the 18th century the Enlightenment was the principal manifestation of the schism that began with Martin Luther.	entailment
4570	Why can Bermudian blacks trace their ancestry back over centuries in Bermuda?	This contrasts to the enslaved blacks of the plantation colonies, who were subjected to conditions so harsh as to drop their birth rate below the death rate, and slaveholders in the United States and the West Indies found it necessary to continue importing more enslaved blacks from Africa until the end of slavery (the same had been true for the Native Americans that the Africans had replaced on the New World plantations).	not_entailment
4571	What is Nanjing surrounded by?	Sun Quan relocated his capital to Nanjing after Liu Bei's suggestion as Liu Bei was impressed by Nanjing's impeccable geographic position when negotiating an alliance with Sun Quan.	not_entailment
4572	UI redress attack or User Interface redress attack is also known as what?	Clickjacking, also known as "UI redress attack or User Interface redress attack", is a malicious technique in which an attacker tricks a user into clicking on a button or link on another webpage while the user intended to click on the top level page.	entailment
4573	What elementary school did Nasser attend?	He left in 1929 for a private boarding school in Helwan, and later returned to Alexandria to enter the Ras el-Tin secondary school and to join his father, who was working for the city's postal service.	not_entailment
4574	Who is the prime minister of Tajikistan?	It is, however, a dominant-party system, where the People's Democratic Party of Tajikistan routinely has a vast majority in Parliament.	not_entailment
4575	In what borough is Fort Hamilton located?	Established in 1825 in Brooklyn on the site of a small battery utilized during the American Revolution, it is one of America's longest serving military forts.	entailment
4576	Who was on the other end of the first cross country phone call?	In January 1915, Bell made the first ceremonial transcontinental telephone call.	not_entailment
4577	How many pounds of PCBs are estimated to be retained in the sediment behind Woods Pond dam?	About 50% of all the PCBs currently in the river are estimated to be retained in the sediment behind Woods Pond dam.	not_entailment
4578	What is usually dropped for the commercial naming of an HDTV product?	For the commercial naming of a product, the frame rate is often dropped and is implied from context (e.g., a 1080i television set).	entailment
4579	What are the degrees of Freemasonry?	The degrees of freemasonry retain the three grades of medieval craft guilds, those of Apprentice, Journeyman or fellow (now called Fellowcraft), and Master Mason.	entailment
4580	What is the centerpiece of Mexico City's markets	Every major neighborhood in the city has its own borough-regulated market, often more than one.	not_entailment
4581	What did German crew members face if they were shot down over Britain?	German crews, even if they survived, faced capture.	entailment
4582	When was the earliest writing in Old East Slavonic?	Russian belongs to the family of Indo-European languages and is one of the three living members of the East Slavic languages.	not_entailment
4583	When is the next hypothetical mission to Neptune?	After the Voyager 2 flyby mission, the next step in scientific exploration of the Neptunian system, is considered to be a Flagship orbital mission.	not_entailment
4584	Who did Bradley sell salt water taffy to for the first time?	He sold some "salt water taffy" to a girl, who proudly walked down to the beach to show her friends.	entailment
4585	What does this secretion system transport?	In a channel transupport system, several proteins form a contiguous channel traversing the inner and outer membranes of the bacteria.	not_entailment
4586	In what decade was Internet video-conferencing made possible?	Finally, in the 1990s, Internet Protocol-based videoconferencing became possible, and more efficient video compression technologies were developed, permitting desktop, or personal computer (PC)-based videoconferencing.	entailment
4587	What developed along with the music developments of post-punk?	Accompanying these musical developments were subcultures that produced visual art, multimedia performances, independent record labels and fanzines in conjunction with the music.	entailment
4588	Because of Columbus' mistake, the Americas came to be known as what?	Application of the term "Indian" originated with Christopher Columbus, who, in his search for Asia, thought that he had arrived in the East Indies.	not_entailment
4589	Which ideas had little criticism for the most part?	The most contentious idea at the time though was the notion that anyone could simply pick up the Bible and learn enough to gain salvation.	not_entailment
4590	What important protein helped with expansion of the inhabitants?	Bananas arrived in the region and added an important source of carbohydrates to the diet; they were also used in the production of alcoholic beverages.[when?]	not_entailment
4591	Which actor also attended the celebrations?	The entire relay through Mainland China was largely a success with many people welcoming the arrival of the torch along the way.	not_entailment
4592	Where ducks ever used as a type of commerence in the world?	Despite this, ducks did not appear in agricultural texts in Western Europe until about 810 AD, when they began to be mentioned alongside geese, chickens, and peafowl as being used for rental payments made by tenants to landowners.	entailment
4593	What minority nationality is most common?	As in most of eastern China the ethnic makeup of Nanjing is predominantly Han nationality (98.56 percent), with 50 other minority nationalities.	not_entailment
4594	How many governments are apart of federalism?	It can thus be defined as a form of government in which there is a division of powers between two levels of government of equal status.	not_entailment
4595	How does an NPO have to handle surplus money?	Although NPOs are permitted to generate surplus revenues, they must be retained by the organization for its self-preservation, expansion, or plans.	entailment
4596	When did this popular view come to be?	This image entered the historiography of the Second World War in the 1980s and 1990s, especially after the publication of Angus Calder's book The Myth of the Blitz (1991).	entailment
4597	When was the ascent of the Matterhorn?	While Mont Blanc was first climbed in 1786, most of the Alpine four-thousanders were climbed during the first half of the 19th century; the ascent of the Matterhorn in 1865 marked the end of the golden age of alpinism.	entailment
4598	In what year was the name Russian Soviet Federative Socialist Republic adopted?	On December 30, 1922, with the creation of the Soviet Union, Russia became one of six republics within the federation of the Union of Soviet Socialist Republics.	not_entailment
4599	What is the range for the length of fields for non international matches in meters?	Fields for non-international matches may be 90–120 m (100–130 yd) length and 45–90 m (50–100 yd) in width, provided that the pitch does not become square.	entailment
4600	What year was the Presidential Proclamation lifted?	Before escaping, the UN Command forces razed most of Hungnam city, especially the port facilities; and on 16 December 1950, President Truman declared a national emergency with Presidential Proclamation No. 2914, 3 C.F.R. 99 (1953), which remained in force until 14 September 1978.[b]	entailment
4601	Most eusocial insects lead what kind of life once becoming an adult?	Most insects, however, lead short lives as adults, and rarely interact with one another except to mate or compete for mates.	entailment
4602	How much money did Spectre gross after four weekends in China?	In China, it opened on 12 November and earned $15 million on its opening day, which is the second biggest 2D single day gross for a Hollywood film behind the $18.5 million opening day of Mission: Impossible – Rogue Nation and occupying 43% of all available screens which included $790,000 in advance night screenings.	not_entailment
4603	What Tennessee cities are connected by I-269?	A branch interstate, I-269 also exists from Millington to Collierville.	entailment
4604	The stategy that Bush used against Kerry was compared to what other similar strategy in the past?	" Bush (just as his father did with Dukakis in the 1988 election) also sought to portray Kerry as a "Massachusetts liberal" who was out of touch with mainstream Americans.	entailment
4605	Who created the argument for deep time?	Science came to play a leading role in Enlightenment discourse and thought.	not_entailment
4606	Why did Schumann say the Poles were in mourning?	If the mighty autocrat in the north [i.e. Nicholas I of Russia] could know that in Chopin's works, in the simple strains of his mazurkas, there lurks a dangerous enemy, he would place a ban on his music.	not_entailment
4607	How much has the Cherokee Preservation Foundation spent on schools?	The Cherokee Preservation Foundation has invested $3 million into opening schools, training teachers, and developing curricula for language education, as well as initiating community gatherings where the language can be actively used.	entailment
4608	What are some species that use social predation to prey on animals much larger than themselves?	Social predation offers the possibility of predators to kill creatures larger than those that members of the species could overpower singly.	not_entailment
4609	How many main types of dogs are there?	Systematic analyses of the dog genome has revealed only four major types of dogs that can be said to be statistically distinct.	entailment
4610	What do followers of Jesus call themselves in the Indian subcontinent?	Isaai (Hindi: ईसाई, Urdu: عیسائی‎), and are also known by this term to adherents of other religions.	entailment
4611	Where is the headquarters of the Congregation of the Holy Cross?	The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome).	entailment
4612	How much of the proposed act must be currently read aloud on St John's Day?	By ancient custom, an act did not come into force until it had been promulgated at an open-air sitting of Tynwald, usually held on Tynwald Hill at St John's on St John's Day (24 June), but, since the adoption of the Gregorian calendar in 1753, on 5 July (or on the following Monday if 5 July is a Saturday or Sunday).	not_entailment
4613	How many sexes of annelids were there originally?	Later they sink to the sea-floor and metamorphose into miniature adults: the part of the trochophore between the apical tuft and the prototroch becomes the prostomium (head); a small area round the trochophore's anus becomes the pygidium (tail-piece); a narrow band immediately in front of that becomes the growth zone that produces new segments; and the rest of the trochophore becomes the peristomium (the segment that contains the mouth).	not_entailment
4614	What kind of classes are not offered in Mittelschule?	The "Mittelschule" is a school in some States of Germany that offers regular classes and remedial classes but no college preparatory classes.	entailment
4615	What is the total land area of Tuvalu?	Tuvalu's Exclusive Economic Zone (EEZ) covers an oceanic area of approximately 900,000 km2.	not_entailment
4616	To whom was Freemasonry most attractive?	Historians have long debated the extent to which the secret network of Freemasonry was a main factor in the Enlightenment.	not_entailment
4617	When did new construction start in Melbourne?	A brash boosterism that had typified Melbourne during this time ended in the early 1890s with a severe depression of the city's economy, sending the local finance and property industries into a period of chaos during which 16 small "land banks" and building societies collapsed, and 133 limited companies went into liquidation.	not_entailment
4618	Which bands were on the forefront of industrial music?	The innovative production techniques devised by post-punk producers such as Martin Hannett and Dennis Bovell during this period would become an important element of the emerging music, with studio experimentation taking a central role.	not_entailment
4619	Who was the executive vice governor?	He stated that 200,000 homes had been rebuilt, and 685,000 were under reconstruction, but 1.94 million households were still without permanent shelter.	not_entailment
4620	How did Gaddafi view the elite?	They purged monarchists and members of Idris' Senussi clan from Libya's political world and armed forces; Gaddafi believed this elite were opposed to the will of the Libyan people and had to be expunged.	entailment
4621	What was the 1733 population of Plymouth Dock?	In 1712 there were 318 men employed and by 1733 it had grown to a population of 3,000 people.	entailment
4622	How long have Puerto Ricans been U.S. citizens?	Puerto Rico has been under U.S. sovereignty for over a century when it was ceded to the U.S. by Spain following the end of the Spanish–American War, and Puerto Ricans have been U.S. citizens since 1917.	entailment
4623	How many non-geostationary orbit satellites will the BeiDou-2 system have?	The new system will be a constellation of 35 satellites, which include 5 geostationary orbit satellites for backward compatibility with BeiDou-1, and 30 non-geostationary satellites (27 in medium Earth orbit and 3 in inclined geosynchronous orbit), that will offer complete coverage of the globe.	entailment
4624	Who was responsible for Star Wars?	Next, Spielberg teamed with Star Wars creator and friend George Lucas on an action adventure film, Raiders of the Lost Ark, the first of the Indiana Jones films.	entailment
4625	According to some, what was Ibn Sina trying to do regarding his works?	Ibn Sīnā wrote at least one treatise on alchemy, but several others have been falsely attributed to him.	not_entailment
4626	When did the nationwide strike by air traffic controlers union happen?	This system required enhancement to keep pace with air traffic growth, however, especially after the Airline Deregulation Act of 1978 phased out the CAB's economic regulation of the airlines.	not_entailment
4627	What is able to break bonds in ingested molecules?	Though some molecules are absorbed into the bloodstream unchanged, digestive processes release them from the matrix of foods.	not_entailment
4628	What outlines the ongoing implementation of the Cyber Security Strategy?	The Action Plan 2010–2015 for Canada's Cyber Security Strategy outlines the ongoing implementation of the strategy.	entailment
4629	What killed about 2500 people in the 17th century?	In the 17th century about 2500 people were killed by an avalanche in a village on the French-Italian border; in the 19th century 120 homes in a village near Zermatt were destroyed by an avalanche.	entailment
4630	The Guinness World record was credited to which production designer?	An explosion filmed in Morocco holds a Guinness World Record for the "Largest film stunt explosion" in cinematic history, with the record credited to production designer Chris Corbould.	entailment
4631	When were chronometers available for accurate location charting?	Longitude could only be reckoned crudely as accurate chronometers were unavailable until the late 18th century.	entailment
4632	What percentage of the black population thought affirmative action should be abolished?	More specifically, apparent rebounds of minority enrollment can be explained by increasing minority enrollment in high schools of those states, and the beneficiaries of class-based (not race) affirmative action would be white students.	not_entailment
4633	Why has Cyprus been sought out by offshore businesses?	Economic policy of the Cyprus government has focused on meeting the criteria for admission to the European Union.	not_entailment
4634	22 Percent of NYC's total wages are from what industry?	The city's securities industry, enumerating 163,400 jobs in August 2013, continues to form the largest segment of the city's financial sector and an important economic engine, accounting in 2012 for 5 percent of the city's private sector jobs, 8.5 percent (US$3.8 billion) of its tax revenue, and 22 percent of the city's total wages, including an average salary of US$360,700.	entailment
4635	Who did King William IV hired to finish the work after Nash was fired?	While the work was in progress, in 1826, the King decided to modify the house into a palace with the help of his architect John Nash.	not_entailment
4636	Stimulants lead humans to overestimate what?	Psychoactive drugs can impair the judgment of time.	not_entailment
4637	While the company was  giving an indefinite period when renewing thier charter what clause did King james use to make sure the company stayed profitable	The high profits reported by the company after landing in India initially prompted King James I to grant subsidiary licences to other trading companies in England.	not_entailment
4638	What magazine did Bell found alongside Hubbard?	In partnership with Gardiner Greene Hubbard, Bell helped establish the publication Science during the early 1880s.	entailment
4639	What is one issue that can arise from overuse of antibiotics?	Their effectiveness and easy access led to overuse, especially in livestock raising, prompting bacteria to develop resistance.	entailment
4640	In what year did glassmaking begin in Asia?	In ancient China, though, glassmaking seems to have a late start, compared to ceramics and metal work.	not_entailment
4641	Puritans are described by Gourley as what?	There were some Christians who were not content with the achievements of the mainstream Protestant Reformation.	not_entailment
4642	In dirhams, what was the yearly cost of the Iraqi postal service when Yusuf bin Umar was governor?	Under Governor Yusuf bin Umar, the postal department of Iraq cost 4,000,000 dirhams a year.	entailment
4643	What period ended towards the end of the 18th century?	The British Empire began to take shape during the early 17th century, with the English settlement of North America and the smaller islands of the Caribbean, and the establishment of private companies, most notably the English East India Company, to administer colonies and overseas trade.	not_entailment
4644	Among television markets in Florida, where dies Miami rank?	Miami has several major newspapers, the main and largest newspaper being The Miami Herald.	not_entailment
4645	Who was Victoria's literary executer?	After Victoria's death, her youngest daughter, Princess Beatrice, was appointed her literary executor.	entailment
4646	Madonna is recognize as the best selling female music artiste by who?	Having sold more than 300 million records worldwide, Madonna is recognized as the best-selling female recording artist of all time by Guinness World Records.	entailment
4647	How do most birds mate?	The cloaca is a multi-purpose opening: waste is expelled through it, most birds mate by joining cloaca, and females lay eggs from it.	entailment
4648	Ethiopia and Qing Dynasty China were both able to prevent European powers from doing what to their agreements?	This involved learning the intricacies of European diplomatic customs and then using the treaties to prevent a power from overstepping their agreement or by playing different powers against each other.	entailment
4649	What political philosophy did Nasser adopt?	Following Bandung, Nasser officially adopted the "positive neutralism" of Yugoslavian president Josip Broz Tito and Indian Prime Minister Jawaharlal Nehru as a principal theme of Egyptian foreign policy regarding the Cold War.	entailment
4650	The Fujiwara and other noble families became richer during which century?	People and lands were increasingly beyond central control and taxation, a de facto return to conditions before the Taika Reform.	not_entailment
4651	What post did Lord Chatfield hold until 1940?	Lord Chatfield held the post until the fall of Neville Chamberlain's government in 1940; his success was limited by his lack of control over the existing Service departments and his limited political influence.	not_entailment
4652	What was the early name for the Arsenal FC?	As they put together the first team in the area, no kit could be found, so Beardsley and Bates wrote home for help and received a set of kit and a ball.	not_entailment
4653	How would you describe a current that has maximum efficiency?	In electrical terms, this means the element has minimum reactance, generating the maximum current for minimum voltage.	entailment
4654	What term is used for predators and prey being well suited to hunt and evade each other?	The prey in turn, are often equally suited to escape that predator.	not_entailment
4655	What desktop did Apple release after the discontinued Power Macintosh G3?	In 2000, Apple released the Power Mac G4 Cube, their first desktop since the discontinued Power Macintosh G3, to slot between the iMac G3 and the Power Mac G4.	entailment
4656	What was the name of Kanye's 2008 music tour?	The events profoundly affected West, who set off for his 2008 Glow in the Dark Tour shortly thereafter.	entailment
4657	Which composer played there on three occasions?	The composer Felix Mendelssohn is known to have played there on three occasions.	entailment
4658	What theaters are at North Carolina State University?	The Duke Energy Center for the Performing Arts complex houses the Raleigh Memorial Auditorium, the Fletcher Opera Theater, the Kennedy Theatre, and the Meymandi Concert Hall.	not_entailment
4659	What are the descriptions for?	Central Catalan is considered the standard pronunciation of the language.	entailment
4660	How many ships did Greece's navy have in the late 1970s?	However, today's fleet roster is smaller than an all-time high of 5,000 ships in the late 1970s.	entailment
4661	How many fire bombs were dropped per minute?	Probably the most devastating strike occurred on the evening of 29 December, when German aircraft attacked the City of London itself with incendiary and high explosive bombs, causing a firestorm that has been called the Second Great Fire of London.	not_entailment
4662	Which students go into the Augmented Foundation Programme?	This program is required for tertiary education programmes outside of Tuvalu and is available at the University of the South Pacific (USP) Extension Centre in Funafuti.	not_entailment
4663	What blockade against Japan  was to be improved on?	Midway proved to be the last great naval battle for two years.	not_entailment
4664	Who agreed to turn the United Provinces into a protectorate of England?	After the assassination of William of Orange (10 July 1584), both Henry III of France and Elizabeth I of England declined the offer of sovereignty.	entailment
4665	To how many homes is the Premier League broadcast to?	In the 2014–15 season, the average Premier League match attendance exceeded 36,000, second highest of any professional football league behind the Bundesliga's 43,500.	not_entailment
4666	What do the 15 oak leaves on the anniversary crest indicate?	The oak leaves represent the 15 founding members of the club who met at the Royal Oak pub.	entailment
4667	Part of what study is the census of Antarctic marine life?	The research is part of the global Census of Marine Life (CoML) and has disclosed some remarkable findings.	entailment
4668	In what state did the largest American mass execution occur?	The second-largest mass execution was also a hanging: the execution of 13 African-American soldiers for taking part in the Houston Riot of 1917.	not_entailment
4669	When did the Bronx Museum of the Arts open?	Many of its exhibitions are on themes of special interest to the Bronx.	not_entailment
4670	Why would someone attempt to unite two different databases?	The reasons are primarily economical (different DBMSs may have different total costs of ownership or TCOs), functional, and operational (different DBMSs may have different capabilities).	entailment
4671	What is the portion of something that is reached by the radio transmission called?	The effective area or effective aperture of a receiving antenna expresses the portion of the power of a passing electromagnetic wave which it delivers to its terminals, expressed in terms of an equivalent area.	entailment
4672	The US involvement in the Korean War was important to achieving what goal?	However, President Truman later acknowledged that he believed fighting the invasion was essential to the American goal of the global containment of communism as outlined in the National Security Council Report 68 (NSC-68) (declassified in 1975):	entailment
4673	Which Greek painter experimented in chiaroscuro?	Greek temples built during the Hellenistic period were generally larger than classical ones, such as the temple of Artemis at Ephesus, the temple of Artemis at Sardis, and the temple of Apollo at Didyma (rebuilt by Seleucus in 300 BCE).	not_entailment
4674	Which country lies on Congo's northeast border?	It is bordered by five countries: Gabon to the west; Cameroon to the northwest; the Central African Republic to the northeast; the Democratic Republic of the Congo to the east and south; and the Angolan exclave of Cabinda to the southwest.	entailment
4675	What can not be undertaken n Security, at Immigration/Customs or in Baggage Reclaim?	Filming can not be undertaken in Security, at Immigration/Customs, or in Baggage Reclaim.	entailment
4676	What is the definition of paramanu in Hindu philosophy?	The Vaiśeṣika philosophy is a naturalist school; it is a form of atomism in natural philosophy.	not_entailment
4677	In which year did Whitehead relocate to America?	He was elected Dean of the Faculty of Science at the University of London in late 1918 (a post he held for four years), a member of the University of London's Senate in 1919, and chairman of the Senate's Academic (leadership) Council in 1920, a post which he held until he departed for America in 1924.	entailment
4678	When was the case against Tulisa tried?	After these events, The Sun released a statement saying that the newspaper "takes the Judge's remarks very seriously.	not_entailment
4679	How many of his bishop's decisions did Paul VI end up enacting?	During the pontificate of Paul VI, five such synods took place, and he is on record of implementing all their decisions.	entailment
4680	When was the Permian–Triassic extinction event?	The Permian–Triassic extinction event, 251 million years ago, was the worst; vertebrate recovery took 30 million years.	entailment
4681	How many protesters filled Lenin Square on August 19th?	On July 16, 1989, the Popular Front of Azerbaijan held its first congress and elected Abulfaz Elchibey, who would become President, as its Chairman.	not_entailment
4682	The first satellite launched into space used what rocket?	It would later be used to launch the first satellite into space, and derivatives would launch all piloted Soviet spacecraft.	not_entailment
4683	What kind of property is copyright used for?	However, copyright is a type of intellectual property, an area of law distinct from that which covers robbery or theft, offenses related only to tangible property.	entailment
4684	What institution of tertiary education is known as NAMS?	A number of medical colleges including Kathmandu Medical College, Nepal Medical College, KIST Medical College, Nepal Army Institute of Health Sciences, National Academy of Medical Sciences (NAMS) and Kathmandu University School of Medical Sciences (KUSMS), are also located in or around Kathmandu.	entailment
4685	The Londre Centre for Nanotechnology was a joint effort between UCL and which college?	The UK Energy Research Centre was also established in 2004 and opened its headquarters at Imperial College.	not_entailment
4686	What is considered the start of the Grecian cultural world ?	Greek culture has evolved over thousands of years, with its beginning in the Mycenaean civilization, continuing through the Classical period, the Roman and Eastern Roman periods and was profoundly affected by Christianity, which it in turn influenced and shaped.	entailment
4687	What highways is King Street in downtown Charleston?	U.S. Highway 52 is Meeting Street and its spur is East Bay Street, which becomes Morrison Drive after leaving the east side.	not_entailment
4688	What is an important industry in Israel?	Israel's security problems have taken their toll on the industry, but the number of incoming tourists is on the rebound.	not_entailment
4689	Where was the Australian and Dutch guerilla campaign led?	Australian and Dutch forces led civilians in a prolonged guerilla campaign in Portuguese Timor.	entailment
4690	John sent William Longespee to retake what?	In January 1216 John marched against Alexander II of Scotland, who had allied himself with the rebel cause.	not_entailment
4691	Who was injured during Everton's record attendance match against Liverpool in 1948?	The record attendance for an Everton home match is 78,299 against Liverpool on 18 September 1948.	not_entailment
4692	How many of Oklahoma's 2007 undergrads completed their degree?	Of these students, 18,892 received a bachelor's degree, 5,386 received a master's degree, and 462 received a first professional degree.	entailment
4693	When did the Mamluk Sultan Baybars convert to the Cave of Patriarchs?	In 1260, control passed to the Mamluk sultans of Egypt.	not_entailment
4694	What does the Spanish ibex eat?	A clear case of amensalism is where sheep or cattle trample grass.	not_entailment
4695	What has to occur for a player in association football to be shown a red penalty card?	Other teams that prominently feature red on their kits include A.C. Milan (nicknamed i rossoneri for their red and black shirts), AFC Ajax, Olympiacos, River Plate, Atlético Madrid, and Flamengo.	not_entailment
